Dimension:    76    61    27
      lon       lat       dep        vp        dvp      dws_p      vs        dvs      dws_s     VpVs     vpvst
   119.000    21.300    -5.000     3.000      .000      .000     1.736      .000      .000     1.728      .000
   119.000    21.300      .000     3.847      .000      .000     2.226      .000      .000     1.728      .000
   119.000    21.300      .500     4.145      .000      .000     2.399      .000      .000     1.728      .000
   119.000    21.300     3.000     4.648      .000      .000     2.690      .000      .000     1.728      .000
   119.000    21.300     6.000     5.129      .000      .000     2.968      .000      .000     1.728      .000
   119.000    21.300    10.000     5.658      .000      .000     3.274      .000      .000     1.728      .000
   119.000    21.300    15.000     6.042      .000      .000     3.497      .000      .000     1.728      .000
   119.000    21.300    20.000     6.383      .000      .000     3.694      .000      .000     1.728      .000
   119.000    21.300    25.000     6.662      .000      .000     3.855      .000      .000     1.728      .000
   119.000    21.300    30.000     6.997      .000      .000     4.050      .000      .000     1.728      .000
   119.000    21.300    35.000     7.398      .000      .000     4.281      .000      .000     1.728      .000
   119.000    21.300    40.000     7.556      .000      .000     4.373      .000      .000     1.728      .000
   119.000    21.300    45.000     7.714      .000      .000     4.464      .000      .000     1.728      .000
   119.000    21.300    50.000     7.871      .000      .000     4.555      .000      .000     1.728      .000
   119.000    21.300    55.000     7.913      .000      .000     4.579      .000      .000     1.728      .000
   119.000    21.300    60.000     7.955      .000      .000     4.604      .000      .000     1.728      .000
   119.000    21.300    65.000     7.997      .000      .000     4.628      .000      .000     1.728      .000
   119.000    21.300    70.000     8.039      .000      .000     4.652      .000      .000     1.728      .000
   119.000    21.300    80.000     8.100      .000      .000     4.688      .000      .000     1.728      .000
   119.000    21.300    90.000     8.162      .000      .000     4.723      .000      .000     1.728      .000
   119.000    21.300   100.000     8.228      .000      .000     4.762      .000      .000     1.728      .000
   119.000    21.300   120.000     8.347      .000      .000     4.830      .000      .000     1.728      .000
   119.000    21.300   140.000     8.454      .000      .000     4.892      .000      .000     1.728      .000
   119.000    21.300   170.000     8.525      .000      .000     4.933      .000      .000     1.728      .000
   119.000    21.300   200.000     8.725      .000      .000     5.049      .000      .000     1.728      .000
   119.000    21.300   250.000     8.800      .000      .000     5.093      .000      .000     1.728      .000
   119.000    21.300   300.000     8.900      .000      .000     5.150      .000      .000     1.728      .000
   119.000    21.380    -5.000     3.000      .000      .000     1.736      .000      .000     1.728      .000
   119.000    21.380      .000     3.847      .000      .000     2.226      .000      .000     1.728      .000
   119.000    21.380      .500     4.145      .000      .000     2.399      .000      .000     1.728      .000
   119.000    21.380     3.000     4.648      .000      .000     2.690      .000      .000     1.728      .000
   119.000    21.380     6.000     5.129      .000      .000     2.968      .000      .000     1.728      .000
   119.000    21.380    10.000     5.658      .000      .000     3.274      .000      .000     1.728      .000
   119.000    21.380    15.000     6.042      .000      .000     3.497      .000      .000     1.728      .000
   119.000    21.380    20.000     6.383      .000      .000     3.694      .000      .000     1.728      .000
   119.000    21.380    25.000     6.662      .000      .000     3.855      .000      .000     1.728      .000
   119.000    21.380    30.000     6.997      .000      .000     4.050      .000      .000     1.728      .000
   119.000    21.380    35.000     7.398      .000      .000     4.281      .000      .000     1.728      .000
   119.000    21.380    40.000     7.556      .000      .000     4.373      .000      .000     1.728      .000
   119.000    21.380    45.000     7.714      .000      .000     4.464      .000      .000     1.728      .000
   119.000    21.380    50.000     7.871      .000      .000     4.555      .000      .000     1.728      .000
   119.000    21.380    55.000     7.913      .000      .000     4.579      .000      .000     1.728      .000
   119.000    21.380    60.000     7.955      .000      .000     4.604      .000      .000     1.728      .000
   119.000    21.380    65.000     7.997      .000      .000     4.628      .000      .000     1.728      .000
   119.000    21.380    70.000     8.039      .000      .000     4.652      .000      .000     1.728      .000
   119.000    21.380    80.000     8.100      .000      .000     4.688      .000      .000     1.728      .000
   119.000    21.380    90.000     8.162      .000      .000     4.723      .000      .000     1.728      .000
   119.000    21.380   100.000     8.228      .000      .000     4.762      .000      .000     1.728      .000
   119.000    21.380   120.000     8.347      .000      .000     4.830      .000      .000     1.728      .000
   119.000    21.380   140.000     8.454      .000      .000     4.892      .000      .000     1.728      .000
   119.000    21.380   170.000     8.525      .000      .000     4.933      .000      .000     1.728      .000
   119.000    21.380   200.000     8.725      .000      .000     5.049      .000      .000     1.728      .000
   119.000    21.380   250.000     8.800      .000      .000     5.093      .000      .000     1.728      .000
   119.000    21.380   300.000     8.900      .000      .000     5.150      .000      .000     1.728      .000
   119.000    21.460    -5.000     3.000      .000      .000     1.736      .000      .000     1.728      .000
   119.000    21.460      .000     3.847      .000      .000     2.226      .000      .000     1.728      .000
   119.000    21.460      .500     4.145      .000      .000     2.399      .000      .000     1.728      .000
   119.000    21.460     3.000     4.648      .000      .000     2.690      .000      .000     1.728      .000
   119.000    21.460     6.000     5.129      .000      .000     2.968      .000      .000     1.728      .000
   119.000    21.460    10.000     5.658      .000      .000     3.274      .000      .000     1.728      .000
   119.000    21.460    15.000     6.042      .000      .000     3.497      .000      .000     1.728      .000
   119.000    21.460    20.000     6.383      .000      .000     3.694      .000      .000     1.728      .000
   119.000    21.460    25.000     6.662      .000      .000     3.855      .000      .000     1.728      .000
   119.000    21.460    30.000     6.997      .000      .000     4.050      .000      .000     1.728      .000
   119.000    21.460    35.000     7.398      .000      .000     4.281      .000      .000     1.728      .000
   119.000    21.460    40.000     7.556      .000      .000     4.373      .000      .000     1.728      .000
   119.000    21.460    45.000     7.714      .000      .000     4.464      .000      .000     1.728      .000
   119.000    21.460    50.000     7.871      .000      .000     4.555      .000      .000     1.728      .000
   119.000    21.460    55.000     7.913      .000      .000     4.579      .000      .000     1.728      .000
   119.000    21.460    60.000     7.955      .000      .000     4.604      .000      .000     1.728      .000
   119.000    21.460    65.000     7.997      .000      .000     4.628      .000      .000     1.728      .000
   119.000    21.460    70.000     8.039      .000      .000     4.652      .000      .000     1.728      .000
   119.000    21.460    80.000     8.100      .000      .000     4.688      .000      .000     1.728      .000
   119.000    21.460    90.000     8.162      .000      .000     4.723      .000      .000     1.728      .000
   119.000    21.460   100.000     8.228      .000      .000     4.762      .000      .000     1.728      .000
   119.000    21.460   120.000     8.347      .000      .000     4.830      .000      .000     1.728      .000
   119.000    21.460   140.000     8.454      .000      .000     4.892      .000      .000     1.728      .000
